Molecular Weight,LogP,Ring Count,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticRings,TPSA,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumValenceElectrons,NumRotatableBonds,NumRadicalElectrons,activity
339.10191952799994,2.6148000000000007,4.0,0.0,1.0,3.0,86.47,3.0,6.0,5.0,2.0,126.0,3.0,0.0,1
339.11383987600004,3.833000000000003,3.0,0.0,0.0,3.0,68.01,3.0,4.0,3.0,2.0,122.0,5.0,0.0,1
355.108754496,3.451500000000001,3.0,0.0,0.0,3.0,77.24,3.0,5.0,4.0,2.0,128.0,5.0,0.0,1
556.11100276,5.719800000000005,5.0,0.0,0.0,5.0,113.0,5.0,7.0,4.0,4.0,186.0,8.0,0.0,1
493.175004216,4.856900000000003,5.0,0.0,0.0,5.0,146.91,5.0,9.0,5.0,4.0,184.0,8.0,0.0,1
604.0109501439999,6.473700000000004,5.0,0.0,0.0,5.0,103.76999999999998,5.0,6.0,3.0,4.0,180.0,7.0,0.0,1
546.1878753200001,5.976100000000005,5.0,0.0,0.0,5.0,113.0,5.0,7.0,4.0,4.0,204.0,8.0,0.0,1
424.07864001200005,5.486200000000004,3.0,0.0,0.0,3.0,75.95,3.0,4.0,3.0,2.0,138.0,4.0,0.0,1
530.1520965280001,5.749800000000005,5.0,0.0,0.0,5.0,113.0,5.0,7.0,4.0,4.0,192.0,8.0,0.0,1
549.105189108,6.8544000000000045,5.0,0.0,0.0,5.0,87.97999999999999,4.0,5.0,3.0,3.0,182.0,7.0,0.0,1
526.1004380759999,5.711200000000004,5.0,0.0,0.0,5.0,103.76999999999998,5.0,6.0,3.0,4.0,174.0,7.0,0.0,1
424.07864001200005,5.486200000000004,3.0,0.0,0.0,3.0,75.95,3.0,4.0,3.0,2.0,138.0,4.0,0.0,1
440.08063338000005,5.806200000000003,4.0,0.0,0.0,4.0,75.95,3.0,4.0,4.0,2.0,156.0,5.0,0.0,1
398.0266044400001,4.044000000000002,3.0,0.0,0.0,3.0,85.18,3.0,5.0,4.0,2.0,126.0,4.0,0.0,1
530.1520965280001,5.749800000000005,5.0,0.0,0.0,5.0,113.0,5.0,7.0,4.0,4.0,192.0,8.0,0.0,1
466.180504196,5.087800000000003,5.0,0.0,0.0,5.0,103.76999999999998,5.0,6.0,3.0,4.0,174.0,7.0,0.0,1
538.2216200600001,4.974500000000003,5.0,0.0,0.0,5.0,131.46,5.0,9.0,6.0,4.0,204.0,10.0,0.0,1
383.026938788,3.356300000000001,3.0,0.0,0.0,3.0,101.97,5.0,5.0,3.0,3.0,120.0,4.0,0.0,1
504.068469252,5.505600000000004,4.0,0.0,0.0,4.0,94.41000000000001,3.0,6.0,5.0,2.0,166.0,7.0,0.0,1
382.14928432,5.001900000000004,3.0,0.0,0.0,3.0,75.95,3.0,4.0,3.0,2.0,144.0,4.0,0.0,1
526.1004380759999,5.711200000000004,5.0,0.0,0.0,5.0,103.76999999999998,5.0,6.0,3.0,4.0,174.0,7.0,0.0,1
445.179026976,5.5781000000000045,5.0,0.0,0.0,5.0,87.97999999999999,4.0,5.0,3.0,3.0,166.0,6.0,0.0,1
414.155512572,5.742500000000004,3.0,0.0,0.0,3.0,75.95,3.0,4.0,3.0,2.0,156.0,4.0,0.0,1
341.09310443199996,3.148500000000001,3.0,0.0,0.0,3.0,88.24,4.0,5.0,4.0,3.0,122.0,4.0,0.0,1
283.077933036,2.8085000000000004,3.0,0.0,0.0,3.0,68.00999999999999,3.0,4.0,4.0,2.0,100.0,3.0,0.0,1
353.152812228,4.414000000000002,4.0,0.0,0.0,4.0,68.00999999999999,3.0,4.0,3.0,2.0,132.0,4.0,0.0,1
477.22974222,4.541800000000004,2.0,0.0,0.0,2.0,111.91000000000001,4.0,8.0,7.0,3.0,182.0,9.0,0.0,1
456.2195118840001,5.005900000000003,3.0,0.0,0.0,3.0,109.24,5.0,7.0,5.0,4.0,172.0,7.0,0.0,1
274.113984196,3.5272000000000014,2.0,0.0,0.0,2.0,55.120000000000005,3.0,3.0,3.0,2.0,100.0,5.0,0.0,1
300.12963426,3.1816000000000013,3.0,1.0,0.0,2.0,55.120000000000005,3.0,3.0,3.0,2.0,110.0,4.0,0.0,1
287.109233164,2.292700000000001,3.0,0.0,1.0,2.0,49.57000000000001,2.0,4.0,4.0,1.0,104.0,2.0,0.0,1
232.067034004,2.2603,2.0,0.0,0.0,2.0,55.120000000000005,3.0,3.0,3.0,2.0,82.0,3.0,0.0,1
361.124883228,4.451100000000003,4.0,0.0,0.0,4.0,70.91,4.0,4.0,3.0,3.0,130.0,5.0,0.0,1
314.145284324,3.9836000000000036,3.0,1.0,0.0,2.0,55.120000000000005,3.0,3.0,3.0,2.0,116.0,4.0,0.0,1
489.20861285200004,6.931400000000005,4.0,0.0,0.0,4.0,97.21,4.0,6.0,5.0,3.0,182.0,6.0,0.0,1
346.11398419600005,4.941820000000003,4.0,0.0,0.0,4.0,58.88,3.0,3.0,3.0,2.0,124.0,4.0,0.0,1
408.12963426,6.300400000000003,5.0,0.0,0.0,5.0,58.88,3.0,3.0,3.0,2.0,146.0,5.0,0.0,1
356.0750118440001,4.623200000000002,3.0,0.0,0.0,3.0,55.120000000000005,3.0,3.0,3.0,2.0,122.0,5.0,0.0,1
386.990464972,4.506300000000002,2.0,0.0,0.0,2.0,42.15,2.0,3.0,3.0,1.0,112.0,6.0,0.0,1
309.07995290400004,3.743800000000002,2.0,0.0,0.0,2.0,42.15,2.0,3.0,3.0,1.0,106.0,6.0,0.0,1
353.029437324,3.8529000000000027,2.0,0.0,0.0,2.0,42.15,2.0,3.0,3.0,1.0,106.0,6.0,0.0,1
372.974814908,4.116200000000002,2.0,0.0,0.0,2.0,42.15,2.0,3.0,3.0,1.0,106.0,5.0,0.0,1
349.07897435999996,3.208100000000001,2.0,0.0,0.0,2.0,51.38,2.0,4.0,4.0,1.0,112.0,7.0,0.0,1
504.103999232,4.549300000000003,3.0,0.0,0.0,3.0,85.94,3.0,7.0,4.0,3.0,164.0,11.0,0.0,1
521.07640458,4.109200000000002,3.0,0.0,0.0,3.0,81.76,3.0,7.0,5.0,3.0,164.0,11.0,0.0,1
