ids,mols,y
53299883.0,NC1=C(C(=O)NCCC2=CNC3=C2C=CC=C3)C(C2=CC=C([N+](=O)[O-])C=C2)=C(C(=O)C2=CC=CC=C2)N1,-95.2263
53299911.0,NC1=C(C(=O)NCCC2=CNC3=CC=CC=C23)C(C2=CC=C(Br)C=C2)=C(C(=O)C2=CC=C(Br)C=C2)N1,-100.428
53299915.0,COC1=CC=C(C(=O)C2=C(C3=CC=C(C(F)(F)F)C=C3)C(C(=O)NCCC3=CNC4=CC=CC=C34)=C(N)N2)C=C1,-102.299
53299919.0,CC(C)(C)C(=O)C1=C(N)NC(C(=O)C2=CC=CC=C2)=C1C1=CC=C(Br)C=C1,-62.0934
53299920.0,COC1=CC=C(C(=O)C2=C(C3=CC=C(Cl)C(F)=C3)C(C(=O)NCCC3=CNC4=CC=CC=C34)=C(N)N2)C=C1,-98.4525
53299923.0,NC1=C(C(=O)NCC2=CC=C(C3=CC=CC=C3)C=C2)C(C2=CC=CC=C2Br)=C(C(=O)C2=CC=CC=C2)N1,-95.8838
53299924.0,NC1=C(C(=O)NCCC2=CNC3=CC=CC=C23)C(C2=CC=CC=C2Br)=C(C(=O)C2=CC=CC=C2)N1,-102.403
53299925.0,CC(C)(C)C(=O)C1=C(N)NC(C(=O)C2=CC=CC=C2)=C1C1=CC=CC=C1Br,-91.6381
53299929.0,NC1=C(C(=O)C2=CC=CS2)C(C2=CC=CC=C2C(F)(F)F)=C(C(=O)C2=CC=CC=C2)N1,-83.6297
53299930.0,COC(=O)C1=C(N)NC(C(=O)C2=CC=CC=C2)=C1C1=CC=CC=C1Br,-92.7649
53299933.0,COC1=CC=C(C(=O)C2=C(C3=C(F)C=CC=C3Cl)C(C(=O)NCCC3=CNC4=CC=CC=C34)=C(N)N2)C=C1,-101.197
53299934.0,NC1=C(C(=O)NCCC2=CNC3=C2C=CC=C3)C(C2=CC=C(F)C=C2)=C(C(=O)C2=CC=CC=C2)N1,-80.9548
53299935.0,COC1=CC=C(C(=O)C2=C(C3=CC=C(OC)C(OC)=C3)C(C(=O)NCCC3=CNC4=CC=CC=C34)=C(N)N2)C=C1,-109.102
53299937.0,NC(=O)C1=C(N)NC(C(=O)C2=CC=CC=C2)=C1C1=C(Br)C=CC=C1,-73.0779
53301722.0,COC1=CC=C(C2=C(C(=O)C3=CC=C(Br)C=C3)NC(N)=C2C(=O)C2=CC=CC=C2)C=C1OC,-110.456
53301725.0,CC(C)(C)C(=O)C1=C(N)NC(C(=O)C2=CC=CC=C2)=C1C1=C(F)C=CC=C1F,-88.6018
53301734.0,NC1=C(C(=O)NCCC2=CNC3=C2C=CC=C3)C(C2=CC=C(Br)C=C2)=C(C(=O)C2=CC=CC=C2)N1,-91.7193
53301736.0,NC1=C(C(=O)NCC2=CC=CC=C2)C(C2=CC=CC3=CC=CC=C32)=C(C(=O)C2=CC=CC=C2)N1,-67.1537
53301744.0,CC(C)(C)C(=O)C1=C(N)NC(C(=O)C2=CC=CC=C2)=C1C1=CC=C(C(F)(F)F)C=C1,-70.7933
53382846.0,NC1=NC2=CC=C(Cl)C=C2C=C1C(=O)NCCC1=CC=C(O)C=C1,-107.056
53382848.0,NC1=NC2=CC=CC=C2C=C1C(=O)NCC1=CC=CS1,-107.173
53382850.0,NC1=NC2=CC=CC=C2C=C1C(=O)NCC1=CC=C(C2=CC=CC=C2)C=C1,-111.349
53383630.0,COC1=C(OC)C=C(CCNC(=O)C2=C(N)SC([C@@H](NC(=O)OC(C)(C)C)C(C)C)=C2)C=C1,-96.0302
53383631.0,CC(C)[C@H](NC(=O)OC(C)(C)C)C1=CC(C(=O)NCCC2=CNC3=C2C=CC=C3)=C(N)S1,-73.8123
53383638.0,CCCCNC(=O)C1=C(N)SC(C2=CC=CC=C2)=C1,-92.7936
674370.0,NC1=C(C(=O)NCCC2=CC=CC=C2)C2=C(CCCC2)S1,-75.602
53383642.0,NC1=C(C(=O)N2CCN(C3=CC=CC=C3)CC2)C=CS1,-92.8314
4470337.0,NC1=C(C(=O)NCC2=CC=CC=C2)C=CS1,-111.488
53383647.0,NC1=C(C(=O)NCCC2=CNC3=CC=CC=C23)C=C(C2=CC=CC=C2)S1,-96.8683
53383652.0,NC1=C(C(=O)NC2CCCCC2)C=C(CC2=CC=CC=C2)S1,-110.265
53383653.0,CC(C)[C@@H](NC(=O)OC(C)(C)C)C1=CC(C(=O)C2=C(C3=CC=CC=C3)NC3=C2C=CC=C3)=C(N)S1,-81.0033
53383655.0,CC1=C(C(=O)C2=C(N)SC(CC3=CC=CC=C3)=C2)C2=C(C=CC=C2)N1,-89.3086
53383656.0,NC1=C(C(=O)C2=C(C3=CC=CC=C3)NC3=CC=CC=C32)C=C(CC2=CC=CC=C2)S1,-114.859
53383660.0,NC1=C(C(=O)NCCC2=CC=C(Cl)C=C2)C=C(C2=CC=CC=C2)S1,-85.985
44820559.0,NCCCN(CC1=CC(Cl)=C(Cl)C=C1)C1=CC=C(Br)C=N1,-121.996
44820549.0,NCCCN(CC1=CC=C(Cl)C(Cl)=C1)C1=CC=CC=N1,-116.574
44820566.0,NCCCN(CC1=CC=C(Cl)C=C1)C1=NC=C(Br)C=C1,-104.264
10785663.0,NCCN(CC1=CC(Cl)=C(Cl)C=C1)C1=CC=C(Br)C=N1,-90.5042
44820555.0,COC1=CC=C(CN(CCCN)C2=NC=C(Br)C=C2)C=C1,-113.894
44820568.0,O=C(NCCCC1=CN=CN1)NCCCN(CC1=CC=C(Cl)C=C1)C1=CC=C(Br)C=N1,-92.2304
44820552.0,S=C(NCCCC1=CN=CN1)NCCCN(CC1=CC=C(Cl)C=C1)C1=NC=C(Br)C=N1,-112.691
44820543.0,S=C(NCCCC1=CN=CN1)NCCCN(CCC1=CC=CC=C1)C1=NC=C(Br)C=C1,-101.871
348130.0,COC1=CC(O)=C2C(=O)CC(C3=CC=C(O)C=C3)OC2=C1,-101.599
16196968.0,CC1=CC(O)=C(OC2=C(O)C(O)=CC(C)=C2)C(O)=C1,-93.6796
4485701.0,COC1=CC(C2OC(C3=CC(OC)=C(OC)C(OC)=C3)C(C)C2C)=CC(OC)=C1OC,-81.8794
160115.0,CC1CC(=O)C2=C(O)C3=C(C=C2O1)C(C1=C(O)C=C(O)C2=C(O)C4=C(C=C12)OC(C)CC4=O)=C(O)C=C3O,-88.49700000000001
361510.0,O=C(O)C1=CC(O)=C2C(=O)C3=C(C=C(O)C=C3O)C(=O)C2=C1,-67.1438
16196971.0,CC1=CC=C(C(O)(COC(=O)C(C)C)COC(=O)C(C)C)C(O)=C1,-108.126
641785.0,COC1=C(C(=O)/C=C/C2=CC=CC=C2)C(O)=CC(O)=C1,-74.2149
16196974.0,CC(C)=CCC1=C2OC(C3=CC(O)=C(O)C=C3)CC(=O)C2=CC=C1O,-101.684
14583237.0,CCC(C)/C=C/C1=CC2=C(Cl)C(=O)C3(C)OC(=O)C(C(=O)C(C)C(C)O)C3C2=CO1,-85.34100000000002
10958572.0,COC1=C2C(=O)C=C(C3=CC=CC=C3)OC2=C2C=CC(C)(C)OC2=C1,-97.4251
6438437.0,C/C1=C\[C@@H](C)C/C=C/[C@H]2[C@@H]3O[C@]3(C)[C@@H](C)[C@H]3[C@H](CC4=CNC5=CC=CC=C45)NC(=O)[C@@]23C(=O)/C=C/C(=O)[C@@H]1O,-100.844
14286542.0,CC1=CC2/C=C(\C)CCC(O)C(O)/C=C/C(=O)C23C(=O)NC(CC(C)C)C3C1C,-109.95
136417.0,COC1=CC=C(C2=C(OC)C(=O)C3=C(O)C(OC)=C(OC)C(OC)=C3O2)C=C1OC,-93.5133
3951.0,CC(C)=CCC1=C(O)C(CC=C(C)C)=C2OC(C3=CC=C(O)C=C3)CC(=O)C2=C1O,-82.7318
375148.0,CC(C)=CCCC1(C)C=CC2=C(C=CC3=C2NC2=C3C=C(C)C(O)=C2)O1,-94.9703
4728.0,C=C(C)C1(O)OC(=O)C=C1OC,-99.5225
9842429.0,COC1=C(C(O)CC(C)C)C=CC2=C1C(=O)OCC1=C(O2)C(O)=CC(C)=C1,-70.6349
9799192.0,C[C@@H]1C[C@@H]2O[C@H]2/C=C\C=C\C(=O)CC2=C(C(=O)O1)C(O)=CC(O)=C2Cl,-100.792
164754.0,CC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C,-100.413
5280681.0,COC1=C(C2=CC(O)=C(O)C=C2)OC2=CC(O)=CC(O)=C2C1=O,-90.2775
14155779.0,CC(=O)CCC1C2C(O)C(C(C)C)C(OC(=O)/C=C/C3=CC=CC=C3)CC12C,-98.9412
6918469.0,COC1=CC(O)=C(C(=O)O)C(C2=CC(O)=C(O)C=C2C)=C1,-93.5982
5467549.0,C=CC(C)(C)C1=C(/C=C2\NC(=O)C(C(C)C)NC2=O)N=CN1,-97.0362
11296670.0,CC(C)C[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)N(C)C(=O)[C@H](C)NC(=O)C2=CC=CC=C2NC(=O)[C@H](CC2=CC=C(O)C=C2)N(C)C1=O,-68.9757
16681745.0,CC(=O)OC(C1=NC2=CC=CC=C2C(=O)N1C1CC2(OC1=O)C1=CC=CC=C1N1C(=O)C(C)(C)N(O)C12)C(C)C,-82.23100000000002
14376449.0,CC(C)=CC(O)C/C(C)=C/COC1=CC2=C(C=CC(=O)O2)C=C1,-95.5185
99938.0,COC1=C(O)C=CC(CC2COC(=O)C2(O)CC2=CC(OC)=C(O)C=C2)=C1,-90.883
10298511.0,CC(C)=CCC1=C(O)C2=C(C=C1O)OC1=C(CC=C(C)C)C(O)=C(O)C(CC=C(C)C)=C1C2=O,-91.9498
114429.0,CC1=C(O)C2=C(C=C1O)OC(C1=CC=CC=C1)CC2=O,-80.1842
10935870.0,C[C@@H]1CC[C@H](O)/C=C/C(=O)O[C@H](C)CC[C@H](O)/C=C/C(=O)O1,-114.496
